Pathway	Metabolite	H1	H2	H3	H4	L1	L2	L3	PROTOTROPH1	PROTOTROPH2	PROTOTROPH3	PROTOTROPH4
Amino acid	tyrosine	0.6	0.8	0.8	0.8	2.1	2.8	1.0	0.9	1.0	1.2	0.8
Amino acid	isoleucine	0.3	0.3	0.3	0.4	0.5	0.5	0.5	0.4	0.4	0.5	0.4
Amino acid	Trp	0.0	0.1	0.1	0.0	0.2	0.2	0.1	0.1	0.1	0.1	0.1
Nucleotides	ATP	2.7	2.6	2.4	3.5	2.3	2.5	3.3	3.0	3.4	3.4	3.3
Nucleotides	ADP	0.2	0.3	0.3	0.4	0.2	0.3	0.4	0.3	0.3	0.3	0.4
Nucleotides	AMP	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
Nucleotides	GTP	0.4	0.4	0.4	0.6	0.6	0.6	0.7	0.5	0.5	0.6	0.6
Nucleotides	GMP	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
Nucleotides	GDP	0.1	0.1	0.1	0.1	0.1	0.2	0.2	0.1	0.1	0.2	0.2
Nucleotides	UTP	369.4	328.7	347.2	511.2	475.5	410.1	833.1	433.5	447.3	420.2	488.4
Nucleotides	UDP	48.5	55.2	76.1	84.6	72.0	95.2	170.2	59.9	81.9	76.4	114.1
Nucleotides	UMP	21.6	20.1	24.1	25.7	16.0	23.0	34.4	26.2	25.0	24.8	30.3
Nucleotides	flavin-adenine dinucleotide	26.1	33.1	30.5	31.0	28.1	33.1	32.9	40.1	39.3	37.2	38.7
Nucleotides	uracil	35.2	160.7	116.8	64.7	114.9	156.5	75.0	215.7	156.9	179.5	73.5
Nucleotides	orotic acid-13C	380.6	491.0	508.7	333.0	287.6	309.4	186.6	439.8	472.0	390.1	369.5
Redox	NAD	0.6	0.4	0.3	1.1	0.4	0.6	1.7	0.4	0.5	0.5	1.1
Redox	NADH	0.2	0.2	0.2	0.2	0.2	0.2	0.3	0.3	0.3	0.2	0.3
Redox	NADP	0.1	0.1	0.1	0.1	0.1	0.2	0.1	0.1	0.1	0.2	0.1
Redox	NADPH	0.2	0.2	0.1	1.5	0.1	0.1	0.2	0.2	0.8	0.1	0.7
Redox	glutathione oxidized form	905.3	1288.2	806.1	1407.9	1269.5	1797.8	1376.7	1845.9	1791.2	1527.1	1319.5
Redox	gtt_red	311.8	287.0	258.5	318.1	329.6	367.8	359.6	359.8	336.9	294.2	304.9
Others	citrulline-13C	155.9	149.9	143.9	211.5	216.3	174.3	320.2	187.6	183.8	182.0	209.6
Others	pantothenic acid	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0
Others	uracil	35.2	160.7	116.8	64.7	114.9	156.5	75.0	215.7	156.9	179.5	73.5
Others	uridine	4.8	20.1	18.9	23.0	19.3	25.8	19.5	25.0	18.1	21.1	16.8
Others	homocitrate	34.7	54.1	30.9	43.9	21.0	25.8	28.2	65.7	67.5	47.8	48.7
Others	FMN		57.2	47.6		56.8	55.5		55.8	83.7	84.5	
Others	methylaconitate		1832.7	1352.7		1117.7	1487.9		1865.7	1797.9	1340.2	
